County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
21 - Marin,12/31/2015,Pending Construction,6969995.00,21,Bay Area Counties
21 - Marin,12/31/2015,In Construction,85845378.00,28,Bay Area Counties
21 - Marin,12/31/2015,In Closure,18964384.00,11,Bay Area Counties
22 - Mariposa,12/31/2015,In Review,0.00,0,
22 - Mariposa,12/31/2015,Pending Construction,204686.00,2,
22 - Mariposa,12/31/2015,In Construction,0.00,0,
22 - Mariposa,12/31/2015,In Closure,163850.00,1,
23 - Mendocino,12/31/2015,In Review,3456338.00,13,
23 - Mendocino,12/31/2015,Pending Construction,144000.00,5,
23 - Mendocino,12/31/2015,In Construction,20298595.00,23,
23 - Mendocino,12/31/2015,In Closure,44338884.00,10,
24 - Merced,12/31/2015,In Review,405266.00,6,
24 - Merced,12/31/2015,Pending Construction,230500.00,5,
24 - Merced,12/31/2015,In Construction,13142736.00,9,
24 - Merced,12/31/2015,In Closure,407461.00,4,
25 - Modoc,12/31/2015,In Review,0.00,0,
25 - Modoc,12/31/2015,Pending Construction,45000.00,1,
25 - Modoc,12/31/2015,In Construction,9500.00,1,
25 - Modoc,12/31/2015,In Closure,0.00,0,
26 - Mono,12/31/2015,In Review,0.00,0,
26 - Mono,12/31/2015,Pending Construction,60000.00,1,
26 - Mono,12/31/2015,In Construction,21398.00,3,
26 - Mono,12/31/2015,In Closure,0.00,0,
27 - Monterey,12/31/2015,In Review,11846937.00,16,
27 - Monterey,12/31/2015,Pending Construction,4294819.00,19,
27 - Monterey,12/31/2015,In Construction,40837931.00,18,
27 - Monterey,12/31/2015,In Closure,5450.00,1,
28 - Napa,12/31/2015,In Review,3496657.00,27,Bay Area Counties
28 - Napa,12/31/2015,Pending Construction,659314.00,10,Bay Area Counties
28 - Napa,12/31/2015,In Construction,3461788.00,17,Bay Area Counties
28 - Napa,12/31/2015,In Closure,85258250.00,14,Bay Area Counties
29 - Nevada,12/31/2015,In Review,9052221.00,12,
29 - Nevada,12/31/2015,Pending Construction,722152.00,7,
29 - Nevada,12/31/2015,In Construction,45914965.00,19,
29 - Nevada,12/31/2015,In Closure,8590857.00,10,
30 - Orange,12/31/2015,In Review,94710397.00,82,Greater Los Angeles Counties
30 - Orange,12/31/2015,Pending Construction,13793995.00,55,Greater Los Angeles Counties
30 - Orange,12/31/2015,In Construction,106266883.00,189,Greater Los Angeles Counties
30 - Orange,12/31/2015,In Closure,50411920.00,170,Greater Los Angeles Counties
31 - Placer,12/31/2015,In Review,2640866.00,16,Greater Sacramento Counties
31 - Placer,12/31/2015,Pending Construction,1419623.00,10,Greater Sacramento Counties
31 - Placer,12/31/2015,In Construction,16166902.00,37,Greater Sacramento Counties
31 - Placer,12/31/2015,In Closure,19443606.00,22,Greater Sacramento Counties
32 - Plumas,12/31/2015,In Review,0.00,0,
32 - Plumas,12/31/2015,Pending Construction,215555.00,7,
32 - Plumas,12/31/2015,In Construction,45900.00,1,
32 - Plumas,12/31/2015,In Closure,0.00,0,
33 - Riverside,12/31/2015,In Review,78976448.00,50,
33 - Riverside,12/31/2015,Pending Construction,203361843.00,81,
33 - Riverside,12/31/2015,In Construction,291945011.00,124,
33 - Riverside,12/31/2015,In Closure,19206754.00,37,
34 - Sacramento,12/31/2015,In Review,83536986.00,57,Greater Sacramento Counties
34 - Sacramento,12/31/2015,Pending Construction,125756001.00,65,Greater Sacramento Counties
34 - Sacramento,12/31/2015,In Construction,302210912.00,135,Greater Sacramento Counties
34 - Sacramento,12/31/2015,In Closure,116621203.00,64,Greater Sacramento Counties
35 - San Benito,12/31/2015,In Review,0.00,0,
35 - San Benito,12/31/2015,Pending Construction,270388.00,3,
35 - San Benito,12/31/2015,In Construction,14048205.00,4,
35 - San Benito,12/31/2015,In Closure,0.00,0,
36 - San Bernardino,12/31/2015,In Review,662793257.00,49,
36 - San Bernardino,12/31/2015,Pending Construction,19910612.00,98,
36 - San Bernardino,12/31/2015,In Construction,212675466.00,110,
36 - San Bernardino,12/31/2015,In Closure,5488389.00,42,
37 - San Diego,12/31/2015,In Review,199558135.00,86,
37 - San Diego,12/31/2015,Pending Construction,46497192.00,119,
37 - San Diego,12/31/2015,In Construction,951351193.00,237,
37 - San Diego,12/31/2015,In Closure,35181412.00,64,
38 - San Francisco,12/31/2015,In Review,418507856.00,47,Bay Area Counties
38 - San Francisco,12/31/2015,Pending Construction,34615094.00,41,Bay Area Counties
38 - San Francisco,12/31/2015,In Construction,1236010332.00,133,Bay Area Counties
38 - San Francisco,12/31/2015,In Closure,400732828.00,27,Bay Area Counties
39 - San Joaquin,12/31/2015,In Review,42169883.00,22,
39 - San Joaquin,12/31/2015,Pending Construction,3498063.00,15,
39 - San Joaquin,12/31/2015,In Construction,16778438.00,51,
39 - San Joaquin,12/31/2015,In Closure,9279732.00,27,
40 - San Luis Obispo,12/31/2015,In Review,2045486.00,8,
40 - San Luis Obispo,12/31/2015,Pending Construction,695806.00,11,
40 - San Luis Obispo,12/31/2015,In Construction,4546317.00,14,
40 - San Luis Obispo,12/31/2015,In Closure,7600365.00,18,
41 - San Mateo,12/31/2015,In Review,9375173.00,23,Bay Area Counties
41 - San Mateo,12/31/2015,Pending Construction,139182174.00,41,Bay Area Counties
41 - San Mateo,12/31/2015,In Construction,53212476.00,31,Bay Area Counties
41 - San Mateo,12/31/2015,In Closure,6826800.00,17,Bay Area Counties
42 - Santa Barbara,12/31/2015,In Review,16779170.00,18,
42 - Santa Barbara,12/31/2015,Pending Construction,1221008.00,13,
42 - Santa Barbara,12/31/2015,In Construction,379327350.00,61,
42 - Santa Barbara,12/31/2015,In Closure,13440538.00,27,
43 - Santa Clara,12/31/2015,In Review,246209966.00,85,Bay Area Counties
43 - Santa Clara,12/31/2015,Pending Construction,34323573.00,54,Bay Area Counties
43 - Santa Clara,12/31/2015,In Construction,1689209574.00,123,Bay Area Counties
43 - Santa Clara,12/31/2015,In Closure,143688247.00,40,Bay Area Counties
44 - Santa Cruz,12/31/2015,In Review,14741150.00,9,
44 - Santa Cruz,12/31/2015,Pending Construction,1561853.00,6,
44 - Santa Cruz,12/31/2015,In Construction,2564037.00,10,
44 - Santa Cruz,12/31/2015,In Closure,7597232.00,4,
45 - Shasta,12/31/2015,In Review,3033985.00,14,
45 - Shasta,12/31/2015,Pending Construction,850800.00,10,
45 - Shasta,12/31/2015,In Construction,4986366.00,18,
45 - Shasta,12/31/2015,In Closure,8551972.00,27,
46 - Sierra,12/31/2015,In Review,0.00,0,
46 - Sierra,12/31/2015,Pending Construction,0.00,0,
46 - Sierra,12/31/2015,In Construction,0.00,0,
46 - Sierra,12/31/2015,In Closure,0.00,0,
47 - Siskiyou,12/31/2015,In Review,1594000.00,4,
47 - Siskiyou,12/31/2015,Pending Construction,326000.00,4,
47 - Siskiyou,12/31/2015,In Construction,1420500.00,6,
47 - Siskiyou,12/31/2015,In Closure,1264130.00,9,
48 - Solano,12/31/2015,In Review,58787045.00,13,Bay Area Counties
48 - Solano,12/31/2015,Pending Construction,1006797.00,9,Bay Area Counties
48 - Solano,12/31/2015,In Construction,46058354.00,34,Bay Area Counties
48 - Solano,12/31/2015,In Closure,9388058.00,25,Bay Area Counties
49 - Sonoma,12/31/2015,In Review,11405396.00,30,Bay Area Counties
49 - Sonoma,12/31/2015,Pending Construction,1636606.00,20,Bay Area Counties
49 - Sonoma,12/31/2015,In Construction,17882248.00,61,Bay Area Counties
49 - Sonoma,12/31/2015,In Closure,133098426.00,36,Bay Area Counties
50 - Stanislaus,12/31/2015,In Review,11711500.00,16,
50 - Stanislaus,12/31/2015,Pending Construction,2573162.00,12,
50 - Stanislaus,12/31/2015,In Construction,30045855.00,40,
50 - Stanislaus,12/31/2015,In Closure,6324814.00,24,
51 - Sutter,12/31/2015,In Review,3200.00,2,
51 - Sutter,12/31/2015,Pending Construction,12696000.00,3,
51 - Sutter,12/31/2015,In Construction,280767.00,2,
51 - Sutter,12/31/2015,In Closure,0.00,0,
52 - Tehama,12/31/2015,In Review,270000.00,1,
52 - Tehama,12/31/2015,Pending Construction,611636.00,3,
52 - Tehama,12/31/2015,In Construction,2676244.00,10,
52 - Tehama,12/31/2015,In Closure,579078.00,4,
53 - Trinity,12/31/2015,In Review,140000.00,1,
53 - Trinity,12/31/2015,Pending Construction,288500.00,3,
53 - Trinity,12/31/2015,In Construction,1382817.00,1,
53 - Trinity,12/31/2015,In Closure,115605.00,1,
54 - Tulare,12/31/2015,In Review,551672.00,6,
54 - Tulare,12/31/2015,Pending Construction,4469517.00,11,
54 - Tulare,12/31/2015,In Construction,78887705.00,23,
54 - Tulare,12/31/2015,In Closure,1157364.00,5,
55 - Tuolumne,12/31/2015,In Review,68000.00,1,
55 - Tuolumne,12/31/2015,Pending Construction,0.00,0,
55 - Tuolumne,12/31/2015,In Construction,1827602.00,2,
55 - Tuolumne,12/31/2015,In Closure,575861.00,3,
56 - Ventura,12/31/2015,In Review,76344107.00,47,Greater Los Angeles Counties
56 - Ventura,12/31/2015,Pending Construction,22334268.00,38,Greater Los Angeles Counties
56 - Ventura,12/31/2015,In Construction,553796938.00,82,Greater Los Angeles Counties
56 - Ventura,12/31/2015,In Closure,40024465.00,37,Greater Los Angeles Counties
57 - Yolo,12/31/2015,In Review,3770500.00,4,Greater Sacramento Counties
57 - Yolo,12/31/2015,Pending Construction,2773312.00,11,Greater Sacramento Counties
57 - Yolo,12/31/2015,In Construction,4584316.00,13,Greater Sacramento Counties
57 - Yolo,12/31/2015,In Closure,1181659.00,4,Greater Sacramento Counties
58 - Yuba,12/31/2015,In Review,9180154.00,8,
58 - Yuba,12/31/2015,Pending Construction,5510000.00,5,
58 - Yuba,12/31/2015,In Construction,96455810.00,5,
58 - Yuba,12/31/2015,In Closure,44739275.00,2,
01 - Alameda,1/14/2016,In Review,138883672.00,58,Bay Area Counties
01 - Alameda,1/14/2016,Pending Construction,74468579.00,99,Bay Area Counties
01 - Alameda,1/14/2016,In Construction,533710926.00,139,Bay Area Counties
01 - Alameda,1/14/2016,In Closure,67690424.00,80,Bay Area Counties
02 - Alpine,1/14/2016,In Review,0.00,0,
02 - Alpine,1/14/2016,Pending Construction,0.00,0,
02 - Alpine,1/14/2016,In Construction,0.00,0,
02 - Alpine,1/14/2016,In Closure,0.00,0,
03 - Amador,1/14/2016,In Review,440000.00,2,
03 - Amador,1/14/2016,Pending Construction,83225.00,3,
03 - Amador,1/14/2016,In Construction,6024595.00,4,
03 - Amador,1/14/2016,In Closure,1306353.00,3,
04 - Butte,1/14/2016,In Review,1347167.00,4,
04 - Butte,1/14/2016,Pending Construction,4927854.00,8,
04 - Butte,1/14/2016,In Construction,3730705.00,12,
04 - Butte,1/14/2016,In Closure,97595502.00,7,
05 - Calaveras,1/14/2016,In Review,265000.00,2,
05 - Calaveras,1/14/2016,Pending Construction,73423.00,1,
05 - Calaveras,1/14/2016,In Construction,137400.00,2,
05 - Calaveras,1/14/2016,In Closure,398844.00,4,
06 - Colusa,1/14/2016,In Review,0.00,0,
06 - Colusa,1/14/2016,Pending Construction,0.00,0,
06 - Colusa,1/14/2016,In Construction,0.00,0,
06 - Colusa,1/14/2016,In Closure,137066.00,3,
07 - Contra Costa,1/14/2016,In Review,26366725.00,24,Bay Area Counties
07 - Contra Costa,1/14/2016,Pending Construction,12266624.00,31,Bay Area Counties
07 - Contra Costa,1/14/2016,In Construction,40410573.00,58,Bay Area Counties
07 - Contra Costa,1/14/2016,In Closure,12503462.00,37,Bay Area Counties
08 - Del Norte,1/14/2016,In Review,2140000.00,2,
08 - Del Norte,1/14/2016,Pending Construction,0.00,0,
08 - Del Norte,1/14/2016,In Construction,1467011.00,7,
08 - Del Norte,1/14/2016,In Closure,1282552.00,1,
09 - El Dorado,1/14/2016,In Review,5553853.00,5,Greater Sacramento Counties
09 - El Dorado,1/14/2016,Pending Construction,116380.00,2,Greater Sacramento Counties
09 - El Dorado,1/14/2016,In Construction,14442841.00,13,Greater Sacramento Counties
09 - El Dorado,1/14/2016,In Closure,223815.00,3,Greater Sacramento Counties
10 - Fresno,1/14/2016,In Review,30163744.00,18,
10 - Fresno,1/14/2016,Pending Construction,9230444.00,33,
10 - Fresno,1/14/2016,In Construction,78882775.00,103,
10 - Fresno,1/14/2016,In Closure,91923757.00,38,
11 - Glenn,1/14/2016,In Review,12912075.00,1,
11 - Glenn,1/14/2016,Pending Construction,50000.00,1,
11 - Glenn,1/14/2016,In Construction,284685.00,1,
11 - Glenn,1/14/2016,In Closure,0.00,0,
12 - Humboldt,1/14/2016,In Review,13577932.00,12,
12 - Humboldt,1/14/2016,Pending Construction,365200.00,5,
12 - Humboldt,1/14/2016,In Construction,89622007.00,19,
12 - Humboldt,1/14/2016,In Closure,1047514.00,5,
13 - Imperial,1/14/2016,In Review,43235000.00,3,
13 - Imperial,1/14/2016,Pending Construction,20000000.00,3,
13 - Imperial,1/14/2016,In Construction,9314900.00,7,
13 - Imperial,1/14/2016,In Closure,334010.00,3,
14 - Inyo,1/14/2016,In Review,30000.00,1,
14 - Inyo,1/14/2016,Pending Construction,0.00,0,
14 - Inyo,1/14/2016,In Construction,0.00,0,
14 - Inyo,1/14/2016,In Closure,45000.00,1,
15 - Kern,1/14/2016,In Review,18835319.00,26,
15 - Kern,1/14/2016,Pending Construction,14132253.00,22,
15 - Kern,1/14/2016,In Construction,68738323.00,38,
15 - Kern,1/14/2016,In Closure,1039935.00,9,
16 - Kings,1/14/2016,In Review,150000.00,1,
16 - Kings,1/14/2016,Pending Construction,277889.00,6,
16 - Kings,1/14/2016,In Construction,28313428.00,3,
16 - Kings,1/14/2016,In Closure,5670.00,1,
17 - Lake,1/14/2016,In Review,852590.00,7,
17 - Lake,1/14/2016,Pending Construction,1002000.00,5,
17 - Lake,1/14/2016,In Construction,3266943.00,8,
17 - Lake,1/14/2016,In Closure,9658980.00,5,
18 - Lassen,1/14/2016,In Review,0.00,0,
18 - Lassen,1/14/2016,Pending Construction,1002600.00,3,
18 - Lassen,1/14/2016,In Construction,1513531.00,11,
18 - Lassen,1/14/2016,In Closure,671182.00,3,
19 - Los Angeles,1/14/2016,In Review,506409769.00,523,Greater Los Angeles Counties
19 - Los Angeles,1/14/2016,Pending Construction,203296567.00,454,Greater Los Angeles Counties
19 - Los Angeles,1/14/2016,In Construction,950879094.00,873,Greater Los Angeles Counties
19 - Los Angeles,1/14/2016,In Closure,1135476278.00,475,Greater Los Angeles Counties
20 - Madera,1/14/2016,In Review,2487783.00,4,
20 - Madera,1/14/2016,Pending Construction,2208471.00,12,
20 - Madera,1/14/2016,In Construction,5274816.00,20,
20 - Madera,1/14/2016,In Closure,3900776.00,12,
21 - Marin,1/14/2016,In Review,222961982.00,18,Bay Area Counties
21 - Marin,1/14/2016,Pending Construction,6693790.00,19,Bay Area Counties
21 - Marin,1/14/2016,In Construction,86131415.00,29,Bay Area Counties
21 - Marin,1/14/2016,In Closure,19058345.00,12,Bay Area Counties
22 - Mariposa,1/14/2016,In Review,0.00,0,
22 - Mariposa,1/14/2016,Pending Construction,204686.00,2,
22 - Mariposa,1/14/2016,In Construction,0.00,0,
22 - Mariposa,1/14/2016,In Closure,163850.00,1,
23 - Mendocino,1/14/2016,In Review,3710338.00,13,
23 - Mendocino,1/14/2016,Pending Construction,145000.00,6,
23 - Mendocino,1/14/2016,In Construction,20296095.00,22,
23 - Mendocino,1/14/2016,In Closure,44342984.00,11,
24 - Merced,1/14/2016,In Review,336666.00,3,
24 - Merced,1/14/2016,Pending Construction,230500.00,5,
24 - Merced,1/14/2016,In Construction,13142736.00,9,
24 - Merced,1/14/2016,In Closure,253884.00,2,
25 - Modoc,1/14/2016,In Review,0.00,0,
25 - Modoc,1/14/2016,Pending Construction,45000.00,1,
25 - Modoc,1/14/2016,In Construction,9500.00,1,
25 - Modoc,1/14/2016,In Closure,0.00,0,
26 - Mono,1/14/2016,In Review,0.00,0,
26 - Mono,1/14/2016,Pending Construction,60000.00,1,
26 - Mono,1/14/2016,In Construction,21398.00,3,
26 - Mono,1/14/2016,In Closure,0.00,0,
27 - Monterey,1/14/2016,In Review,11720678.00,15,
27 - Monterey,1/14/2016,Pending Construction,4265501.00,19,
27 - Monterey,1/14/2016,In Construction,40819701.00,16,
27 - Monterey,1/14/2016,In Closure,18230.00,2,
28 - Napa,1/14/2016,In Review,3325707.00,27,Bay Area Counties
28 - Napa,1/14/2016,Pending Construction,937764.00,11,Bay Area Counties
28 - Napa,1/14/2016,In Construction,3463388.00,17,Bay Area Counties
28 - Napa,1/14/2016,In Closure,85258250.00,14,Bay Area Counties
29 - Nevada,1/14/2016,In Review,9052221.00,12,
29 - Nevada,1/14/2016,Pending Construction,722152.00,7,
29 - Nevada,1/14/2016,In Construction,45914965.00,19,
29 - Nevada,1/14/2016,In Closure,7872089.00,9,
30 - Orange,1/14/2016,In Review,106698001.00,83,Greater Los Angeles Counties
30 - Orange,1/14/2016,Pending Construction,13553959.00,53,Greater Los Angeles Counties
30 - Orange,1/14/2016,In Construction,105253130.00,188,Greater Los Angeles Counties
30 - Orange,1/14/2016,In Closure,51868351.00,166,Greater Los Angeles Counties
31 - Placer,1/14/2016,In Review,2650221.00,16,Greater Sacramento Counties
31 - Placer,1/14/2016,Pending Construction,1011695.00,10,Greater Sacramento Counties
31 - Placer,1/14/2016,In Construction,16615202.00,36,Greater Sacramento Counties
